Location_ID,Slope,Elevation,Vegetation,Terrain_Type,Erosion_Label,Erosion_Score
T01_A,32,3500,Low,Rugged,1,0.82
T01_B,35,3500,Low,Rugged,1,0.88
T01_C,28,3500,Medium,Rugged,1,0.72
T01_D,38,3500,Low,Rugged,1,0.92
T02_A,12,180,Low,Sandy,0,0.25
T02_B,15,180,Low,Sandy,0,0.3
T02_C,10,180,Sparse,Sandy,0,0.22
T02_D,18,180,Sparse,Sandy,0,0.33
T03_A,42,2400,Sparse,Rocky,1,0.9
T03_B,45,2400,Sparse,Rocky,1,0.94
T03_C,38,2400,Medium,Rocky,1,0.8
T03_D,48,2400,Sparse,Rocky,1,0.96
T04_A,25,1200,Medium,Undulating,1,0.65
T04_B,28,1200,Medium,Undulating,1,0.7
T04_C,22,1200,High,Undulating,0,0.35
T04_D,30,1200,Medium,Undulating,1,0.75
T05_A,40,1500,Sparse,Rocky,1,0.88
T05_B,43,1500,Sparse,Rocky,1,0.92
T05_C,36,1500,Medium,Rocky,1,0.78
T05_D,45,1500,Sparse,Rocky,1,0.94
T06_A,30,900,Medium,Plateau,0,0.32
T06_B,33,900,Medium,Plateau,0,0.35
T06_C,26,900,High,Plateau,0,0.28
T06_D,36,900,Medium,Plateau,1,0.6
T07_A,35,1100,Sparse,Volcanic,1,0.82
T07_B,38,1100,Sparse,Volcanic,1,0.87
T07_C,30,1100,Medium,Volcanic,1,0.72
T07_D,42,1100,Sparse,Volcanic,1,0.9
T08_A,20,400,Sparse,Desert,0,0.3
T08_B,23,400,Sparse,Desert,0,0.33
T08_C,17,400,Low,Desert,0,0.28
T08_D,26,400,Sparse,Desert,0,0.35
T09_A,28,950,Medium,Loess,1,0.65
T09_B,31,950,Medium,Loess,1,0.7
T09_C,24,950,High,Loess,0,0.38
T09_D,35,950,Medium,Loess,1,0.78
T10_A,18,700,Medium,Plain,0,0.3
T10_B,21,700,Medium,Plain,0,0.33
T10_C,15,700,High,Plain,0,0.25
T10_D,24,700,Medium,Plain,0,0.35
