DEM,NDVI,slope,erosion_label
576,0.2478604316711425,426.016201620162,1
415,0.22609943151474,161.0,1
61,0.236696720123291,354.0,1
399,0.2426197528839111,338.0,1
248,0.2497227191925048,151.0,1
136,0.1769139617681503,112.0,1
441,0.2607192397117615,305.0,1
338,0.265843391418457,103.0,1
79,0.3059165775775909,259.0,0
426,0.2196884900331497,347.0,1
214,0.2840672731399536,212.0,1
343,0.2473839074373245,129.0,1
466,0.1979922205209732,123.0,1
5377,-0.0285677723586559,4911.0,1
1326,0.4558215737342834,4051.0,0
254,0.1828116327524185,1072.0,1
541,0.2091990411281585,287.0,1
42,0.2549881041049957,499.0,1
369,0.2156225144863128,327.0,1
149,0.2763391137123108,220.0,1
473,0.2161623537540435,324.0,1
372,0.185794711112976,101.0,1
10,0.3155193626880646,362.0,0
450,0.1994601488113403,440.0,1
119,0.145054280757904,331.0,1
734,0.4066423773765564,615.0,0
230,0.2816131114959717,504.0,1
2270,0.2791424691677093,2040.0,1
753,0.2319806218147277,1517.0,1
349,0.297267347574234,404.0,1
122,0.1804222613573074,227.0,1
424,0.2700471580028534,302.0,1
341,0.246294304728508,83.0,1
577,0.2418546378612518,236.0,1
692,0.4000000059604645,115.0,0
463,0.2832237184047699,229.0,1
232,0.2948916554450989,231.0,1
310,0.2706894874572754,78.0,1
26,0.2442532181739807,284.0,1
197,0.3458991348743438,171.0,0
459,0.1891086995601654,262.0,1
13,0.1810885071754455,446.0,1
5,0.2116622477769851,8.0,0
424,0.2004789561033249,419.0,1
258,0.23348368704319,166.0,1
224,0.2795266807079315,34.0,1
505,0.1850811541080474,281.0,1
563,0.1834038943052292,58.0,1
41,0.284608781337738,522.0,1
778,0.2010465860366821,737.0,1
359,0.1728686392307281,419.0,1
322,0.1978506296873092,37.0,1
604,0.1925686299800872,282.0,1
136,0.1761623471975326,468.0,1
554,0.4245734214782715,418.0,0
220,0.1968046128749847,334.0,1
158,0.1300291568040847,62.0,1
216,0.2313998788595199,58.0,1
305,0.1995053589344024,89.0,1
316,0.2162428498268127,11.0,0
337,0.2246661782264709,21.0,0
366,0.4827491044998169,29.0,0
359,0.324851781129837,7.0,0
341,0.1643080115318298,18.0,0
282,0.1025447025895118,59.0,1
337,0.4665833711624145,55.0,0
276,0.2568467855453491,61.0,1
199,0.1971451193094253,77.0,1
57,0.2606548368930816,142.0,1
267,0.235632449388504,210.0,1
441,0.2061900645494461,174.0,1
322,0.2801077365875244,119.0,1
435,0.1986472308635711,113.0,1
48,0.1190476194024086,387.0,1
394,0.3049818277359009,346.0,0
441,0.2597445845603943,47.0,1
271,0.2211735695600509,170.0,1
85,0.2913321554660797,186.0,1
248,0.2543238401412964,163.0,1
336,0.2170747816562652,88.0,1
60,0.3635183274745941,276.0,0
464,0.255344808101654,404.0,1
38,0.3106722235679626,426.0,0
