epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8281,2.22606,5.06127,1.99168,0.0043,0.64286,0.04708,0.01543,1.70304,3.48967,1.27446,6e-05,6e-05,6e-05
2,50.6404,2.33371,5.7253,2.04763,0.00429,0.64286,0.02504,0.01049,1.63549,3.45035,1.29599,0.000137228,0.000137228,0.000137228
3,73.1333,1.82505,4.32132,1.6213,0.00571,0.85714,0.034,0.01315,1.94563,3.37417,1.36955,0.000211288,0.000211288,0.000211288
4,95.3456,1.85546,3.973,1.65674,0.00619,0.92857,0.03839,0.02178,2.11523,3.49765,1.36068,0.00028218,0.00028218,0.00028218
5,112.723,1.91358,4.49364,1.79834,0.00524,0.78571,0.0372,0.01784,2.20769,3.55012,1.41952,0.000349904,0.000349904,0.000349904
6,132.623,2.0888,5.2204,2.05042,0.00525,0.78571,0.11333,0.02734,2.17184,3.46656,1.44937,0.00041446,0.00041446,0.00041446
7,153.637,1.62918,3.74103,1.549,0.00571,0.85714,0.10361,0.0347,2.02263,3.47366,1.48134,0.000475848,0.000475848,0.000475848
8,173.588,1.55282,3.37549,1.42657,0.00571,0.85714,0.09145,0.0372,2.09333,3.43138,1.39779,0.000534068,0.000534068,0.000534068
9,193.182,1.75549,3.18833,1.53635,0.00429,0.64286,0.10484,0.05016,2.10808,3.40045,1.46549,0.00058912,0.00058912,0.00058912
10,212.658,1.71165,3.69213,1.57433,0.00333,0.5,0.10365,0.05024,1.99485,3.56204,1.44814,0.000641004,0.000641004,0.000641004
11,231.947,1.72595,3.52115,1.5645,0.00333,0.5,0.08582,0.03417,2.31294,3.64859,1.5963,0.00068972,0.00068972,0.00068972
12,251.427,1.59281,3.38859,1.47015,0.00333,0.5,0.00801,0.00325,2.2564,3.73636,1.7556,0.000735268,0.000735268,0.000735268
